# x_m,y_m,w_tr_left_m,w_tr_right_m 
6.5,2.5,0.0,0.0
6.6000000000000005,2.6,0.0,0.0
6.7,2.6,0.0,0.0
6.800000000000001,2.6,0.0,0.0
6.9,2.7,0.0,0.0
7.0,2.7,0.0,0.0
7.1000000000000005,2.8000000000000003,0.0,0.0
7.2,2.9000000000000004,0.0,0.0
7.300000000000001,3.0,0.0,0.0
7.4,3.1,0.0,0.0
7.5,3.2,0.0,0.0
7.6000000000000005,3.3000000000000003,0.0,0.0
7.7,3.4000000000000004,0.0,0.0
7.800000000000001,3.5,0.0,0.0
7.9,3.6,0.0,0.0
8.0,3.7,0.0,0.0
8.1,3.8000000000000003,0.0,0.0
8.200000000000001,3.9000000000000004,0.0,0.0
8.3,4.0,0.0,0.0
8.4,4.1000000000000005,0.0,0.0
8.4,4.2,0.0,0.0
8.4,4.3,0.0,0.0
8.4,4.4,0.0,0.0
8.4,4.5,0.0,0.0
8.4,4.6000000000000005,0.0,0.0
8.4,4.7,0.0,0.0
8.4,4.800000000000001,0.0,0.0
8.4,4.9,0.0,0.0
8.4,5.0,0.0,0.0
8.4,5.1000000000000005,0.0,0.0
8.4,5.2,0.0,0.0
8.4,5.300000000000001,0.0,0.0
8.4,5.4,0.0,0.0
8.4,5.5,0.0,0.0
8.3,5.6000000000000005,0.0,0.0
8.3,5.7,0.0,0.0
8.200000000000001,5.800000000000001,0.0,0.0
8.1,5.9,0.0,0.0
8.0,6.0,0.0,0.0
7.9,6.1000000000000005,0.0,0.0
7.800000000000001,6.2,0.0,0.0
7.7,6.300000000000001,0.0,0.0
7.6000000000000005,6.4,0.0,0.0
7.5,6.5,0.0,0.0
7.4,6.6000000000000005,0.0,0.0
7.300000000000001,6.7,0.0,0.0
7.2,6.800000000000001,0.0,0.0
7.1000000000000005,6.9,0.0,0.0
7.0,6.9,0.0,0.0
6.9,7.0,0.0,0.0
6.800000000000001,7.0,0.0,0.0
6.7,7.1000000000000005,0.0,0.0
6.6000000000000005,7.1000000000000005,0.0,0.0
6.5,7.1000000000000005,0.0,0.0
6.4,7.1000000000000005,0.0,0.0
6.300000000000001,7.1000000000000005,0.0,0.0
6.2,7.1000000000000005,0.0,0.0
6.1000000000000005,7.1000000000000005,0.0,0.0
6.0,7.1000000000000005,0.0,0.0
5.9,7.1000000000000005,0.0,0.0
5.800000000000001,7.1000000000000005,0.0,0.0
5.7,7.1000000000000005,0.0,0.0
5.6000000000000005,7.1000000000000005,0.0,0.0
5.5,7.1000000000000005,0.0,0.0
5.4,7.1000000000000005,0.0,0.0
5.300000000000001,7.1000000000000005,0.0,0.0
5.2,7.1000000000000005,0.0,0.0
